id,source,date,title,FINAL,url
1,Tribun News,2026-06-06,"Pesantren Capai 42 Ribu, Kemenag: Jumlah Santri Nasional Tak Alami Penurunan Signifikan",0,https://www.tribunnews.com/nasional/7838729/pesantren-capai-42-ribu-kemenag-jumlah-santri-nasional-tak-alami-penurunan-signifikan
2,Tribun News,2026-04-06,Penyanyi Ary Kirana Soroti Pentingnya Pendidikan Usia Dini,0,https://www.tribunnews.com/seleb/7838151/penyanyi-ary-kirana-soroti-pentingnya-pendidikan-usia-dini
3,Tribun News,2026-05-29,Kuasa Hukum Sebut Pledoi Nadiem Akan Ungkap Keberhasilan Sistem Pendidikan,0,https://www.tribunnews.com/nasional/7835460/kuasa-hukum-sebut-pledoi-nadiem-akan-ungkap-keberhasilan-sistem-pendidikan
4,Tribun News,2026-05-26,"Universitas Prasetiya Mulya Perkenalkan ""Prasmul New Look"" di Kampus BSD",0,https://www.tribunnews.com/parapuan/7834529/universitas-prasetiya-mulya-perkenalkan-prasmul-new-look-di-kampus-bsd
5,Tribun News,2026-05-26,Merdeka Copper Gold Genjot Pendidikan dan Pelatihan SDM di Wilayah Tambang,0,https://www.tribunnews.com/bisnis/7834329/merdeka-copper-gold-genjot-pendidikan-dan-pelatihan-sdm-di-wilayah-tambang
6,Tribun News,2026-05-22,Reformasi dan Krisis Integritas Pendidikan,0,https://www.tribunnews.com/tribunners/7832790/reformasi-dan-krisis-integritas-pendidikan
7,Tribun News,2026-05-21,Pakistan Didorong Lakukan Reformasi Pendidikan sebagai Penentu Arah Jangka Panjang,0,https://www.tribunnews.com/internasional/7832419/pakistan-didorong-lakukan-reformasi-pendidikan-sebagai-penentu-arah-jangka-panjang
8,Tribun News,2026-05-19,Kebangkitan Nasional di Ujung Integritas Pendidikan,0,https://www.tribunnews.com/tribunners/7831562/kebangkitan-nasional-di-ujung-integritas-pendidikan
9,Tribun News,2026-05-19,"Nilai Matematika TKA SMA Hanya Capai 36,10, OPGMN: Proses Pembelajaran Harus Dibenahi",0,https://www.tribunnews.com/nasional/7831248/nilai-matematika-tka-sma-hanya-capai-3610-opgmn-proses-pembelajaran-harus-dibenahi
10,Tribun News,2026-05-16,Gap Year: Ambil Jeda untuk Peluang Kampus yang Lebih Terbuka,0,https://www.tribunnews.com/pendidikan-go/7830346/gap-year-ambil-jeda-untuk-peluang-kampus-yang-lebih-terbuka
11,Tribun News,2026-05-14,"Unpad Buka Pendaftaran Program Magister Pendidikan Jarak Jauh 2026, Kuliah Full Daring",0,https://www.tribunnews.com/pendidikan/7829770/unpad-buka-pendaftaran-program-magister-pendidikan-jarak-jauh-2026-kuliah-full-daring
12,Tribun News,2026-05-14,"Ambil Magister Teologi, Ferdy Sambo Sudah Kuliah sejak Juli 2024, Tempuh Pendidikan via Daring",0,https://www.tribunnews.com/nasional/7829716/ambil-magister-teologi-ferdy-sambo-sudah-kuliah-sejak-juli-2024-tempuh-pendidikan-via-daring
13,Tribun News,2026-05-14,AMPG Tegaskan Komitmen Kawal Kebijakan Sekolah Swasta Gratis di Jakarta,0,https://www.tribunnews.com/metropolitan/7829680/ampg-tegaskan-komitmen-kawal-kebijakan-sekolah-swasta-gratis-di-jakarta
