id,source,date,title,FINAL,url
1,CNN Indonesia,2026-06-07,"Hasil Uji Coba Jelang Piala Dunia: Messi Tak Main, Argentina Menang",0,https://www.cnnindonesia.com/olahraga/20260607090917-142-1366236/hasil-uji-coba-jelang-piala-dunia-messi-tak-main-argentina-menang
2,CNN Indonesia,2026-06-07,"Veda Ega Kena Long Lap Penalty, Tak Patah Arang di Moto3 Hungaria",0,https://www.cnnindonesia.com/olahraga/20260607082253-156-1366233/veda-ega-kena-long-lap-penalty-tak-patah-arang-di-moto3-hungaria
3,CNN Indonesia,2026-06-07,Final Indonesia Open 2026: Kans Jonatan Ikuti Jejak Kevin/Marcus,0,https://www.cnnindonesia.com/olahraga/20260607080842-170-1366232/final-indonesia-open-2026-kans-jonatan-ikuti-jejak-kevin-marcus
4,CNN Indonesia,2026-06-06,Klasemen Runner Up Terbaik Piala AFF U-19: Indonesia Tak Bisa Tenang,0,https://www.cnnindonesia.com/olahraga/20260606135248-142-1366072/klasemen-runner-up-terbaik-piala-aff-u-19-indonesia-tak-bisa-tenang
5,CNN Indonesia,2026-06-07,"Hasil Uji Coba Jelang Piala Dunia: Saling Blunder, Brasil Hajar Mesir",0,https://www.cnnindonesia.com/olahraga/20260607070051-142-1366220/hasil-uji-coba-jelang-piala-dunia-saling-blunder-brasil-hajar-mesir
6,CNN Indonesia,2026-06-07,"Portugal Menang, Bruno Fernandes Selebrasi Gol dengan 'Kicau Mania'",0,https://www.cnnindonesia.com/olahraga/20260607063255-142-1366218/portugal-menang-bruno-fernandes-selebrasi-gol-dengan-kicau-mania
7,CNN Indonesia,2026-06-06,"Piala Dunia 2010: Piala Dunia di Afrika, Spanyol Cetak Sejarah",0,https://www.cnnindonesia.com/olahraga/20260606152423-142-1366119/piala-dunia-2010-piala-dunia-di-afrika-spanyol-cetak-sejarah
8,CNN Indonesia,2026-06-07,Jadwal Siaran Langsung Final Indonesia Open 2026: Indonesia Buru Gelar,0,https://www.cnnindonesia.com/olahraga/20260607055049-170-1366217/jadwal-siaran-langsung-final-indonesia-open-2026-indonesia-buru-gelar
9,CNN Indonesia,2026-06-06,"STY Berbincang dengan Kluivert di Korea, Bahas Apa?",1,https://www.cnnindonesia.com/olahraga/20260606234220-142-1366214/sty-berbincang-dengan-kluivert-di-korea-bahas-apa
10,CNN Indonesia,2026-06-07,Hasil Uji Coba Jelang Piala Dunia: Inggris Menang Susah Payah,0,https://www.cnnindonesia.com/olahraga/20260607045913-142-1366216/hasil-uji-coba-jelang-piala-dunia-inggris-menang-susah-payah
