id,source,date,title,Label,url
1,CNN Indonesia,2026-06-05,"7 Ciri Anak Percaya Diri, Bisa Terlihat dari Perilakunya Sehari-hari",0,https://www.cnnindonesia.com/gaya-hidup/20260605111435-284-1365657/7-ciri-anak-percaya-diri-bisa-terlihat-dari-perilakunya-sehari-hari
2,CNN Indonesia,2026-06-03,10 Destinasi Wisata Paling Digemari di Asia Tenggara,0,https://www.cnnindonesia.com/gaya-hidup/20260603195514-269-1365085/10-destinasi-wisata-paling-digemari-di-asia-tenggara
3,CNN Indonesia,2026-06-06,"Kasus Ebola di Afrika Tengah Tembus 471, WHO Waspada Ledakan Wabah",0,https://www.cnnindonesia.com/gaya-hidup/20260606192658-255-1366183/kasus-ebola-di-afrika-tengah-tembus-471-who-waspada-ledakan-wabah
4,CNN Indonesia,2026-06-06,"Jangan Anggap Wajar, Nyeri Sendi Bukan Sekadar Faktor Usia",0,https://www.cnnindonesia.com/gaya-hidup/20260606194641-255-1366196/jangan-anggap-wajar-nyeri-sendi-bukan-sekadar-faktor-usia
5,CNN Indonesia,2026-05-22,"7 Cara Mengatasi Kesemutan di Tangan dan Kaki, Langsung Hilang",0,https://www.cnnindonesia.com/gaya-hidup/20260522180237-255-1361351/7-cara-mengatasi-kesemutan-di-tangan-dan-kaki-langsung-hilang
6,CNN Indonesia,2026-05-22,"Capsule Wardrobe Butuh Bujet Mahal, Emang Iya?",1,https://www.cnnindonesia.com/gaya-hidup/20260522084102-277-1361069/capsule-wardrobe-butuh-bujet-mahal-emang-iya
7,CNN Indonesia,2026-05-26,"4 Tips Capsule Wardrobe Pria, Rahasia Tampil Keren dengan Sedikit Baju",0,https://www.cnnindonesia.com/gaya-hidup/20260526145816-277-1362564/4-tips-capsule-wardrobe-pria-rahasia-tampil-keren-dengan-sedikit-baju
8,CNN Indonesia,2026-06-05,8 Tanda Orang Tua Overprotective dan Bahayanya buat Anak,0,https://www.cnnindonesia.com/gaya-hidup/20260605134342-284-1365707/8-tanda-orang-tua-overprotective-dan-bahayanya-buat-anak
9,CNN Indonesia,2026-05-22,Gen Z Mulai Tinggalkan Fast Fashion dan Pilih Capsule Wardrobe,0,https://www.cnnindonesia.com/gaya-hidup/20260522094818-277-1361091/gen-z-mulai-tinggalkan-fast-fashion-dan-pilih-capsule-wardrobe
10,CNN Indonesia,2026-06-06,Malaysia Fair 2026 Perkuat Promosi Wisata Medis Malaysia di Indonesia,0,https://www.cnnindonesia.com/gaya-hidup/20260606113913-260-1366031/malaysia-fair-2026-perkuat-promosi-wisata-medis-malaysia-di-indonesia
11,CNN Indonesia,2026-05-13,"Tips Capsule Wardrobe untuk Liburan, 7 Item Ini Bikin Kamu Tetap Modis",1,https://www.cnnindonesia.com/gaya-hidup/20260513112045-277-1358156/tips-capsule-wardrobe-untuk-liburan-7-item-ini-bikin-kamu-tetap-modis
12,CNN Indonesia,2026-06-03,7 Arti Memasukkan Tangan ke Dalam Saku Menurut Psikologi,0,https://www.cnnindonesia.com/gaya-hidup/20260603170627-284-1365009/7-arti-memasukkan-tangan-ke-dalam-saku-menurut-psikologi
13,CNN Indonesia,2026-06-02,Mana Lebih Sehat Matcha atau Kopi? Ini Perbandingannya,1,https://www.cnnindonesia.com/gaya-hidup/20260602140606-262-1364507/mana-lebih-sehat-matcha-atau-kopi-ini-perbandingannya
14,CNN Indonesia,2026-06-05,Harga Tiket Masuk dan Jam Operasional Jakarta Fair Kemayoran 2026,0,https://www.cnnindonesia.com/gaya-hidup/20260605154202-269-1365796/harga-tiket-masuk-dan-jam-operasional-jakarta-fair-kemayoran-2026
15,CNN Indonesia,2026-06-04,Koleksi Pakaian untuk Capsule Wardrobe,0,https://www.cnnindonesia.com/gaya-hidup/20260604201834-280-1365489/infografis-koleksi-pakaian-untuk-capsule-wardrobe
16,CNN Indonesia,2026-06-02,"Capsule Wardrobe dan Ide Keberlanjutan, Bisakah Berjalan Beriringan?",1,https://www.cnnindonesia.com/gaya-hidup/20260602105021-277-1364409/capsule-wardrobe-dan-ide-keberlanjutan-bisakah-berjalan-beriringan
17,CNN Indonesia,2026-06-05,"Jakarta Fair 2026 Dibuka 11 Juni, Jadi Opsi Destinasi Liburan Keluarga",0,https://www.cnnindonesia.com/gaya-hidup/20260605161848-269-1365816/jakarta-fair-2026-dibuka-11-juni-jadi-opsi-destinasi-liburan-keluarga
18,CNN Indonesia,2026-05-21,Coba Capsule Wardrobe? Ini 7 Trik Tetap Fashionable Tanpa Banyak Baju,1,https://www.cnnindonesia.com/gaya-hidup/20260521173715-277-1360893/coba-capsule-wardrobe-ini-7-trik-tetap-fashionable-tanpa-banyak-baju
