id,source,date,title,Label,url
1,CNN Indonesia,2026-06-06,Karantina Lampung Gagalkan Penyelundupan 172 Burung Ilegal,0,https://www.cnnindonesia.com/nasional/20260606150717-20-1366112/karantina-lampung-gagalkan-penyelundupan-172-burung-ilegal
2,CNN Indonesia,2026-06-06,"KY Terima 592 Aduan Pelanggaran Etik Hakim, Lima Diberhentikan",0,https://www.cnnindonesia.com/nasional/20260606181016-12-1366168/ky-terima-592-aduan-pelanggaran-etik-hakim-lima-diberhentikan
3,CNN Indonesia,2026-06-06,"Jelang Muktamar, PBNU Gelar Munas dan Konbes NU di Kediri 20-21 Juni",0,https://www.cnnindonesia.com/nasional/20260606144140-20-1366095/jelang-muktamar-pbnu-gelar-munas-dan-konbes-nu-di-kediri-20-21-juni
4,CNN Indonesia,2026-06-06,Kakorlantas: Operasi Patuh Utamakan Pendekatan Humanis Namun Tegas,0,https://www.cnnindonesia.com/nasional/20260606224326-20-1366209/kakorlantas-operasi-patuh-utamakan-pendekatan-humanis-namun-tegas
5,CNN Indonesia,2026-06-06,"Polisi Bongkar Kasus Etomidate di Jakut, Sita 276 Catridge Vape",0,https://www.cnnindonesia.com/nasional/20260606143727-12-1366098/polisi-bongkar-kasus-etomidate-di-jakut-sita-276-catridge-vape
6,CNN Indonesia,2026-06-06,Fakta-fakta Rumah Fia di Sleman yang Dilanda Teror Api Misterius,1,https://www.cnnindonesia.com/nasional/20260606202730-20-1366201/fakta-fakta-rumah-fia-di-sleman-yang-dilanda-teror-api-misterius
7,CNN Indonesia,2026-06-06,Yellow Run 2026 Bidik Pecahkan Rekor Lari Nasional di GBK,0,https://www.cnnindonesia.com/nasional/20260606203746-20-1366202/yellow-run-2026-bidik-pecahkan-rekor-lari-nasional-di-gbk
8,CNN Indonesia,2026-06-06,Sejumlah Nama Masuk Bursa Calon Ketum PBNU,1,https://www.cnnindonesia.com/nasional/20260606192401-20-1366182/sejumlah-nama-masuk-bursa-calon-ketum-pbnu
9,CNN Indonesia,2026-06-06,Dua Pria di Jakbar Gasak Motor Teman Demi Bayar Kos,0,https://www.cnnindonesia.com/nasional/20260606191110-12-1366179/dua-pria-di-jakbar-gasak-motor-teman-demi-bayar-kos
10,CNN Indonesia,2026-06-06,Blora Masuk Zona Aman LSD dan LP2B,0,https://www.cnnindonesia.com/nasional/20260606200528-20-1366198/blora-masuk-zona-aman-lsd-dan-lp2b
11,CNN Indonesia,2026-06-06,Cucu Pendiri NU Wanti-wanti Muktamar PBNU Harus Independen,0,https://www.cnnindonesia.com/nasional/20260606195130-32-1366197/cucu-pendiri-nu-wanti-wanti-muktamar-pbnu-harus-independen
12,CNN Indonesia,2026-06-06,Mahfud MD Dukung Pengungkapan Korupsi BGN oleh Kejagung,0,https://www.cnnindonesia.com/nasional/20260606165459-12-1366152/mahfud-md-dukung-pengungkapan-korupsi-bgn-oleh-kejagung
13,CNN Indonesia,2026-06-06,Evakuasi Pendaki Ilegal Semeru Rampung Usai 4 Hari Penyelamatan,0,https://www.cnnindonesia.com/nasional/20260606180113-20-1366165/evakuasi-pendaki-ilegal-semeru-rampung-usai-4-hari-penyelamatan
14,CNN Indonesia,2026-06-06,"KemenPU Rampungkan 222 SPPG di Seluruh Indonesia, Termasuk Wilayah 3T",0,https://www.cnnindonesia.com/nasional/20260606183712-25-1366170/kemenpu-rampungkan-222-sppg-di-seluruh-indonesia-termasuk-wilayah-3t
15,CNN Indonesia,2026-06-06,Dishub Siapkan Rekayasa Lalin Saat Yellow Run di Jakarta,0,https://www.cnnindonesia.com/nasional/20260606152210-20-1366117/dishub-siapkan-rekayasa-lalin-saat-yellow-run-di-jakarta
16,CNN Indonesia,2026-06-06,MAKI Sebut Modus Korupsi MBG Amatiran: Mainkan Harga dan Atur Tender,0,https://www.cnnindonesia.com/nasional/20260606165607-12-1366153/maki-sebut-modus-korupsi-mbg-amatiran-mainkan-harga-dan-atur-tender
17,CNN Indonesia,2026-06-06,"Terminal 2 Bandara Soetta Berasap, Manajemen Buka Suara",1,https://www.cnnindonesia.com/nasional/20260606164321-20-1366134/terminal-2-bandara-soetta-berasap-manajemen-buka-suara
18,CNN Indonesia,2026-06-06,"Beban Subsidi Tinggi, Pramono Akan Sesuaikan Tarif Transjabodetabek",0,https://www.cnnindonesia.com/nasional/20260606150649-20-1366114/beban-subsidi-tinggi-pramono-akan-sesuaikan-tarif-transjabodetabek
19,CNN Indonesia,2026-06-06,Remaja Dikeroyok Teman hingga Tewas di Surabaya Gara-gara Sandal,1,https://www.cnnindonesia.com/nasional/20260606154907-12-1366129/remaja-dikeroyok-teman-hingga-tewas-di-surabaya-gara-gara-sandal
20,CNN Indonesia,2026-06-06,Makeup Corner Asrama Haji Makassar untuk Hajah Ingin Tampil 'Cetar',1,https://www.cnnindonesia.com/nasional/20260606133926-20-1366068/makeup-corner-asrama-haji-makassar-untuk-hajah-ingin-tampil-cetar
21,CNN Indonesia,2026-06-06,"Pria di Tangerang Disekap 17 Jam karena Utang, Tangan-Kaki Diikat",0,https://www.cnnindonesia.com/nasional/20260606131756-12-1366064/pria-di-tangerang-disekap-17-jam-karena-utang-tangan-kaki-diikat
22,CNN Indonesia,2026-06-06,LPSK Jamin Lindungi JC di Kasus Dadan Cs dan Silmy Karim,0,https://www.cnnindonesia.com/nasional/20260606130627-12-1366062/lpsk-jamin-lindungi-jc-di-kasus-dadan-cs-dan-silmy-karim
23,CNN Indonesia,2026-06-06,"Pabrik Pengolahan Ikan di Pati Terbakar, 70 Persen Bangunan Hangus",0,https://www.cnnindonesia.com/nasional/20260606124831-20-1366059/pabrik-pengolahan-ikan-di-pati-terbakar-70-persen-bangunan-hangus
24,CNN Indonesia,2026-06-06,"Silmy Karim Tersangka, Istana Belum Berencana Isi Wamen Imipas",0,https://www.cnnindonesia.com/nasional/20260606105500-20-1366024/silmy-karim-tersangka-istana-belum-berencana-isi-wamen-imipas
25,CNN Indonesia,2026-06-05,"BPOM Ungkap 263 Ribu Link Kosmetik Ilegal, Mayoritas Ada di E-Commerce",0,https://www.cnnindonesia.com/nasional/20260605224409-12-1365966/bpom-ungkap-263-ribu-link-kosmetik-ilegal-mayoritas-ada-di-e-commerce
26,CNN Indonesia,2026-06-06,Daftar Kendaraan Mewah Disita KPK dari Rumah Silmy Karim,0,https://www.cnnindonesia.com/nasional/20260606093124-12-1366007/daftar-kendaraan-mewah-disita-kpk-dari-rumah-silmy-karim
