id,source,date,title,Label,url
1,CNN Indonesia,2026-06-05,"Gandeng Nvidia dan Google, Apple Berencana Rilis Siri Generasi Baru",0,https://www.cnnindonesia.com/teknologi/20260605142602-185-1365742/gandeng-nvidia-dan-google-apple-berencana-rilis-siri-generasi-baru
2,CNN Indonesia,2026-06-05,"Sindikat Online Scams Internasional Ditangkap, Jutaan Akun Diblokir",0,https://www.cnnindonesia.com/teknologi/20260605124822-185-1365685/sindikat-online-scams-internasional-ditangkap-jutaan-akun-diblokir
3,CNN Indonesia,2026-06-05,"Masa Depan AI di Persimpangan, Kemajuan vs Ancaman Krisis Air",0,https://www.cnnindonesia.com/teknologi/20260605133646-641-1365706/masa-depan-ai-di-persimpangan-kemajuan-vs-ancaman-krisis-air
4,CNN Indonesia,2026-06-05,Puteri Indonesia Dukung PP TUNAS Jadi Ruang Digital Aman bagi Anak,0,https://www.cnnindonesia.com/teknologi/20260605124646-197-1365684/puteri-indonesia-dukung-pp-tunas-jadi-ruang-digital-aman-bagi-anak
5,CNN Indonesia,2026-06-05,Ilmuwan Berhasil Buat Peta Medan Magnet Alam Semesta Terbesar,0,https://www.cnnindonesia.com/teknologi/20260605100707-199-1365636/ilmuwan-berhasil-buat-peta-medan-magnet-alam-semesta-terbesar
6,CNN Indonesia,2026-06-05,Pakar Ungkap Bahaya Hidrogen yang Diduga Picu Api di Rumah Fia,0,https://www.cnnindonesia.com/teknologi/20260605100859-199-1365634/pakar-ungkap-bahaya-hidrogen-yang-diduga-picu-api-di-rumah-fia
7,CNN Indonesia,2026-06-05,Daftar 10 HP Android Tak Bisa Pakai WhatsApp Mulai Juni 2026,1,https://www.cnnindonesia.com/teknologi/20260605064135-185-1365549/daftar-10-hp-android-tak-bisa-pakai-whatsapp-mulai-juni-2026
8,CNN Indonesia,2026-06-04,"SpaceX Segera Melantai di Bursa, Elon Musk OTW Makin Tajir",1,https://www.cnnindonesia.com/teknologi/20260604150431-206-1365343/spacex-segera-melantai-di-bursa-elon-musk-otw-makin-tajir
9,CNN Indonesia,2026-06-04,"Bukan Asteroid, Kiamat Massal Pertama di Bumi Ternyata Dipicu Oksigen",1,https://www.cnnindonesia.com/teknologi/20260604121835-199-1365277/bukan-asteroid-kiamat-massal-pertama-di-bumi-ternyata-dipicu-oksigen
10,CNN Indonesia,2026-06-04,"Apple Segera Rilis iOS 27, Daftar iPhone Ini Berpotensi Tak Kebagian",1,https://www.cnnindonesia.com/teknologi/20260604103754-206-1365243/apple-segera-rilis-ios-27-daftar-iphone-ini-berpotensi-tak-kebagian
11,CNN Indonesia,2026-06-03,Riset: Ortu Tak Peka Keamanan Siber Sering Share Foto Anak di Medsos,0,https://www.cnnindonesia.com/teknologi/20260603135431-185-1364900/riset-ortu-tak-peka-keamanan-siber-sering-share-foto-anak-di-medsos
12,CNN Indonesia,2026-06-03,Daftar HP yang Sudah Tak Bisa Lagi Pakai WhatsApp Mulai Juni 2026,0,https://www.cnnindonesia.com/teknologi/20260603155446-185-1364976/daftar-hp-yang-sudah-tak-bisa-lagi-pakai-whatsapp-mulai-juni-2026
13,CNN Indonesia,2026-06-03,"Dolar AS Tembus Rp18 Ribu, Siap-siap Harga Hp Lebih Mahal",0,https://www.cnnindonesia.com/teknologi/20260603231139-206-1365111/dolar-as-tembus-rp18-ribu-siap-siap-harga-hp-lebih-mahal
14,CNN Indonesia,2026-06-03,"Intip Spesifikasi F-47, Jet Tempur Siluman Generasi ke-6 AS",0,https://www.cnnindonesia.com/teknologi/20260603164706-199-1365005/intip-spesifikasi-f-47-jet-tempur-siluman-generasi-ke-6-as
15,CNN Indonesia,2026-06-03,"Hp Oppo Bakal Semakin Mirip iPhone, Tampilan Hingga Kamera",0,https://www.cnnindonesia.com/teknologi/20260603112823-206-1364821/hp-oppo-bakal-semakin-mirip-iphone-tampilan-hingga-kamera
16,CNN Indonesia,2026-06-03,"Terus Merugi, GoPro Terancam Bangkrut",0,https://www.cnnindonesia.com/teknologi/20260603142304-206-1364913/terus-merugi-gopro-terancam-bangkrut
17,CNN Indonesia,2026-06-03,BRIN Ungkap 'Jalur Tol' Purba Rute Manusia Afrika Menuju Indonesia,0,https://www.cnnindonesia.com/teknologi/20260603111341-199-1364815/brin-ungkap-jalur-tol-purba-rute-manusia-afrika-menuju-indonesia
18,CNN Indonesia,2026-06-03,"Xiaomi 17T Series Resmi Rilis di Indonesia, Gandeng Kamera Leica",0,https://www.cnnindonesia.com/teknologi/20260603102816-206-1364796/xiaomi-17t-series-resmi-rilis-di-indonesia-gandeng-kamera-leica
19,CNN Indonesia,2026-06-03,"Strawberry Moon Hiasi Langit Akhir Juni, Ini Cara Menyaksikannya",1,https://www.cnnindonesia.com/teknologi/20260603094057-199-1364774/strawberry-moon-hiasi-langit-akhir-juni-ini-cara-menyaksikannya
20,CNN Indonesia,2026-06-02,"Fitur Try On Google Resmi Rilis di Indonesia, Begini Cara Pakainya",1,https://www.cnnindonesia.com/teknologi/20260602183823-185-1364620/fitur-try-on-google-resmi-rilis-di-indonesia-begini-cara-pakainya
21,CNN Indonesia,2026-06-02,Sampai Kapan Fenomena Bediding Bikin Menggigil? Ini Prediksi Pakar,1,https://www.cnnindonesia.com/teknologi/20260602181210-641-1364613/sampai-kapan-fenomena-bediding-bikin-menggigil-ini-prediksi-pakar
