id,source,date,title,url,article_text,label
1,CNN Indonesia,2026-06-05,Hasil Drawing Asean Club Championship Persib Jumpa Asnawi Lagi,https://www.cnnindonesia.com/olahraga/20260605111110-142-1365655/hasil-drawing-asean-club-championship-persib-jumpa-asnawi-lagi,"Hasil drawing ASEAN Club Championship (ACC) 2026/2027 menetapkan Persib Bandung masuk Grup B bersua Port FC, sementara Borneo FC jumpa Buriram United di Grup A. Drawing ASEAN Club Championship 2026/2027 rampung digelar di Jakarta, Jumat (5/6). Berikut hasil drawing ASEAN Club Championship musim depan. Juara Super League 2025/2026, Persib Bandung tergabung di Grup B bersama tim-tim kuat, termasuk klub yang dibela Asnawi Mangkualam, Port FC. SCROLL TO CONTINUE WITH CONTENT Pada 2024, Persib pernah dia kali bentrok dengan Port FC di fase Grup F AFC League Two (ACL 2). Hasilnya, Persib kalah 0-1 di kandang dan bermain imbang 2-2 di Thailand. Selain Port FC, Persib akan bertarung menghadapi Johor Darul Tazim (Malaysia), Lion City Sailors, Cong An Ha Noi, PKR Svay Rieng, dan pemenang laga playoff 2 antara Ezra vs Shan United. Sementara runner upa Super League 2025/2026, Borneo FC, tergabung di Grup A bersama Buriram United yang diperkuat bek andalan Timnas Indonesia, Sandy Walsh. Selain melawan Buriram, Borneo FC akan bertemu Ratchaburi, Kuching City, Tampines Rovers, Vietnam Cup Winners, dan pemenang playoff 1 antara Kasuka vs manila Digger.ASEAN Club Championship bakal diikuti total 14 klub. Sebanyak 12 tim lolos langsung, sedangkan 4 klub lainnya harus melewati fase playoff untuk memperebutkan 2 slot tersisa. Sebanyak 14 klub peserta akan dibagi menjadi dua grup, dengan masing-masing grup dihuni 7 tim. Mereka bakal memainkan 6 laga, yang artinya hanya sekali berhadapan di fase grup. Empat tim teratas dari masing-masing grup akan lolos langsung ke babak semifinal. Bagi Persib dan Borneo, turnamen ini jadi ajang pembuktian menghadapi klub-klub elite di Asia Tenggara. Borneo FC (Indonesia)Buriram United (Thailand)Ratchaburi (THailand)Kuching City (Malaysia)Tampines Rovers (Singapura)Juara Vietnam Cup (Vietnam)Kasuka (Brunei) vs manila Digger (Filipina) Persib Bandung (Indonesia)Port FC (Thailand)Johor Darul Tazim (Malaysia)Lion City Sailors (Singapura)Cong An Ha Noi (Vietnam)PKR Svay Rieng (Kamboja)Ezra (Laos) vs Shan United (Myanmar)",
2,CNN Indonesia,2026-06-05,Hasil Indonesia Open 2026 Putri Kw Kalah Dari Chen Yufei,https://www.cnnindonesia.com/olahraga/20260605110651-170-1365654/hasil-indonesia-open-2026-putri-kw-kalah-dari-chen-yufei,"Putri Kusuma Wardani kalah dari Chen Yufei dengan skor 13-21, 20-22 di babak perempat final Indonesia Open 2026 di Istora GBK, Jumat (5/6). Putri KW sempat memberikan perlawanan sengit pada Chen Yufei di awal gim pertama. Skor sempat imbang di angka 6-6 dan 7-7. Namun setelah itu, Chen Yufei mulai menunjukkan keunggulannya. Ia bisa merebut empat poin beruntun dan memimpin 11-7 di interval. SCROLL TO CONTINUE WITH CONTENT Selepas interval, keunggulan Chen Yufei makin terlihat. Ia mendominasi permainan dan terus memimpin. Chen Yufei unggul 16-10 dan mendapat game point di angka 20-13. Chen Yufei tanpa kesulitan menutup gim pertama dengan skor 21-13. Masuk ke gim kedua, permainan Putri KW menjadi lebih baik. Ia bisa memberikan tekanan pada Chen Yufei dan berhasil menutup interval dengan skor 11-7. Challenge yang berhasil dari Putri KW membuat selisih jadi lima angka pada kedudukan 13-8. Pukulan Chen Yufei yang out jadi poin berikutnya bagi Putri KW Akurasi serangan Putri KW makin meningkat. Smes silang yang ia lepaskan membuat dirinya unggul tujuh angka di kedudukan 16-9 dan berlanjut menjadi 18-10. Setelah sempat di atas angin, Putri KW kembali mendapatkan tekanan dari Chen Yufei. Chen Yufei merebut tujuh poin beruntun dan mendekat di angka 17-18. Putri KW berhasil memutus rentetan poin beruntun Chen Yufei tetapi kemudian netting miliknya membentur net. Putri KW masih unggul 19-18. Smes Putri KW kemudian mengantar dirinya meraih game point di angka 20-18. Sayangnya dua kesempatan itu melayang dan skor jadi imbang 20-20. Chen Yufei berbalik meraih match point setelah pukulan Putri KW keluar. Kemenangan akhirnya jadi milik Chen Yufei usai pengembalian Putri KW melebar. 22-20 untuk Chen Yufei di gim kedua.",
3,CNN Indonesia,2026-06-05,Janji Kampanye Perez Madrid Bakal Beli Pemain Seharga Rp31 Triliun,https://www.cnnindonesia.com/olahraga/20260605101632-142-1365637/janji-kampanye-perez-madrid-bakal-beli-pemain-seharga-rp31-triliun,"Florentino Perez membuat janji kampanye fantastis lantaran sesumbar bakal membeli pemain seharga 150 juta euro alias Rp3,1 Triliun untuk Real Madrid. Perez sedang bersaing dengan Enrique Riquelme untuk pemilih Presiden Real Madrid periode berikutnya. Perez memberikan janji manis akan membeli pemain berharga 150 juta euro alias Rp3,1 Triliun. ""Saya punya berita yang akan dibagikan. Pada Selasa (9/5), saya akan memberikan tawaran luar biasa untuk klub Liga Champions untuk membeli pemain top [mereka]."" SCROLL TO CONTINUE WITH CONTENT ""Ini akan jadi biaya transfer terbesar yang pernah dibayar Real Madrid. Harganya akan berkisar di 150 juta euro. Petunjuk? Saya tidak akan memberikannya, saya hanya memberi petunjuk tentang hal yang akan kami lakukan,"" tutur Perez seperti dikutip dari Marca. Meski demikian, Perez pada akhirnya membocorkan ciri-ciri pemain yang bakal dia rekrut. ""Olise adalah pemain yang luar biasa, namun dia [yang kami bidik] bukan Olise. Dia juga bukan Doku. Kami akan menawarkan tawaran besar, setidaknya 150 juta euro. Idealnya, dia adalah gelandang atau penyerang. Dan dia bukan Haaland."" ""Dan dia bukan berasal dari Premier League. Dan hal pertama yang akan kami lakukan adalah berbicara dengan klub. Dalam dua musim terakhir, Madrid tidak mampu meraih gelar. Mereka kalah bersaing dengan Barcelona di La Liga dan tak mampu tampil impresif di Liga Champions.",
4,CNN Indonesia,2026-06-05,Bek Oman Puji Timnas Indonesia Tim Sepak Bola Modern,https://www.cnnindonesia.com/olahraga/20260605095837-142-1365629/bek-oman-puji-timnas-indonesia-tim-sepak-bola-modern,"Pemain Oman Khalid Al Braiki memuji Timnas Indonesia sebagai salah satu tim sepak bola modern yang pantas menjadi lawan uji coba di FIFA Matchday Juni 2026. ""Kami di sini sekarang untuk bersiap menghadapi pertandingan yang sangat penting melawan salah satu tim modern,"" kata Al Braiki dalam konferensi pers di Jakarta, Kamis (4/6). ""Kami melihat pertandingan mereka di kualifikasi terakhir dan itu adalah tim yang sangat bagus. Jadi, kami sangat senang bermain melawan Indonesia,"" ujarnya menambahkan. SCROLL TO CONTINUE WITH CONTENT Indonesia dan Oman akan bentrok dalam kalender internasional FIFA Matchday periode Juni 2026 di Stadion Utama Gelora Bung Karno (GBK), Senayan, Jakarta, Jumat (5/6) malam. Ini bakal jadi pertemuan pertama kedua tim setelah lima tahun terakhir. Sebelumnya Indonesia harus mengakui keunggulan Oman 1-3 pada laga persahabatan di Dubai, Uni Emirat Arab, Mei 2021. Namun, kekuatan Indonesia kali ini jauh berbeda. Kehadiran Ole Romeny dan pemain naturalisasi lainnya membuat peluang Indonesia untuk menang terbuka lebar. Sementara Oman tengah memulai babak baru bersama pelatih asal Turki, Tari Sektioui. ""Dan kami juga memulai babak baru dengan staf teknis yang baru, dengan pelatih kepala Tariq Sektioui. Dan kami percaya kami akan mencapai hal-hal besar."" ""Kami juga sangat bersemangat untuk memainkan pertandingan ini, dan kami sangat senang memiliki pelatih baru kami. Kami memercayainya dan akan sangat menyenangkan untuk melakukan yang terbaik bagi tim. Terima kasih, terima kasih,"" tutur Al Braiki.",
5,CNN Indonesia,2026-06-05,Apakah Lionel Messi Pensiun Setelah Piala Dunia 2026,https://www.cnnindonesia.com/olahraga/20260605090652-142-1365591/apakah-lionel-messi-pensiun-setelah-piala-dunia-2026,"Pertanyaan seputar Lionel Messi akan pensiun terus menggema. Lalu, apakah Piala Dunia 2026 jadi turnamen terakhir La Pulga? Messi dipastikan tampil pada pesta akbar yang digelar di Ameria Serikat (AS), Kanada, dan Meksiko. Juru latih Argentina Lionel Scaloni masih memberikan kepercayaan penuh kepada eks pemain Barcelona itu untuk memimpin skuad Albiceleste. Messi saat ini sudah berusia 38 tahun. Piala Dunia 2026 akan menjadi turnamen keenamnya sejak debut pada edisi 2006. SCROLL TO CONTINUE WITH CONTENT Adapun Messi terbilang sudah ""tamat"" dalam karier profesionalnya sebagai pesepakbola. La Pulga telah memborong semua ajang bergengsi, baik gelar individu maupun tim. Delapan Ballon d'Or dan satu trofi Piala Dunia jadi bukti paling nyata Messi merupakan yang terbaik sejagat raya. Belum lagi, catatan 73 gol dalam satu musim pada 2011-2012 juga belum terlampaui oleh pemain mana pun. Lantas, posisi tersebut menguatkan spekulasi tentang isu gantung sepatu La Pulga usai Piala Dunia tahun ini. Namun, Scaloni selaku pelatih Messi di tim nasional belum dapat memastikan kapan pemain andalannya itu bakal pensiun. ""Dia akan bermain sampai dia mau karena kita sudah tahu siapa dia dan tidak mengherankan jika dia bermain di Piala Dunia keenamnya,"" ujar Scaloni melansir NDTV. ""Dia terus menjadi yang terbaik karena dia selalu menginginkan lebih dan menunjukkan bahwa dia menginginkan lebih,"" lanjut Scaloni. Kemudian Scaloni menerangkan perihal peran Messi di Piala Dunia 2026 akan melalui diskusi terlebih dahulu. Scaloni tidak akan memaksakan sang bintang untuk menjadi tulang punggung layaknya di Qatar 2022. Hal ini dikarenakan Messi masih dalam pemulihan usai dibekap cedera hamstring beberapa waktu lalu. ""Setiap keputusan yang kami buat, telah kami diskusikan dengannya. Tidak ada gunanya bagi saya untuk duduk di sini dan mengatakan bahwa saya yang memutuskan: dalam kasusnya, dan saya pikir itu pantas, saya akan selalu berbicara dengannya dan bertanya bagaimana keadaannya, dan kita lihat apakah kita mencapai kesepakatan,"" tutur Scaloni. ""Saya pikir harus seperti itu, karena saya ulangi, dia, bahkan saat berada di lapangan dengan banyak kesulitan, telah memberi kami banyak. Jadi ada kalanya lebih baik jika dia mengalami kesulitan karena semua yang dia hasilkan,"" tambah pelatih berusia 48 tahun itu. Pada Piala Dunia 2026, Argentina tergabung di Grup J. Lionel Messi dkk akan ditantang Aljazair, Austria, dan Jordania. Tim Tango akan memulai laga perdana menghadapi Aljazair pada Rabu (17/6) pukul 08.00 WIB.",
6,CNN Indonesia,2026-06-05,John Herdman Calvin Verdonk Siap Tanding,https://www.cnnindonesia.com/olahraga/20260605083614-142-1365584/john-herdman-calvin-verdonk-siap-tanding,"Pelatih Timnas Indonesia John Herdman menegaskan Calvin Verdonk berada dalam kondisi siap tempur dan tidak ada cedera jelang laga lawan Oman dalam FIFA Matchday, Jumat (5/6). Verdonk menjalani latihan terpisah dari pemain-pemain lainnya pada Kamis (4/6). Namun Herdman menyatakan Verdonk berada dalam kondisi baik-baik saja tanpa terkendala cedera. ""Calvin Verdonk baru saja tiba. Dia bugar. Karena alasan pribadi dia tidak bisa datang di awal jendela [internasional], tapi dia akan siap bermain besok dalam beberapa bagian."" SCROLL TO CONTINUE WITH CONTENT ""Dia mungkin menjadi starter, atau kami mungkin memasukkannya di tengah pertandingan. Kami harus selalu memikirkan persiapannya dan memastikan bahwa semua yang kami lakukan adalah untuk menjaganya tetap aman [dari ancaman cedera],"" tutur Herdman dalam sesi konferensi pers. John Herdman juga memberikan pujian Verdonk yang antusias membela Timnas Indonesia. Dalam pandangan John Herdman, Verdonk menunjukkan kecintaan terhadap Skuad Garuda. ""Jadi saya berharap kami bisa memberinya beberapa menit bermain besok, apakah itu sebagai starter atau dari bangku cadangan. Tapi dia adalah pemain yang luar biasa seperti yang kalian tahu, dan dia melakukan segala upaya untuk bisa sampai ke sini."" ""Dia menghadapi beberapa tantangan dan itu menunjukkan komitmennya serta cintanya untuk tim ini,"" ucap Herdman. Timnas Indonesia menghadapi Oman dan Mozambik dalam FIFA Matchday Juni. Setelah menghadapi Oman pada Jumat (5/6) disusul duel lawan Mozambik pada Selasa (9/6).",
7,CNN Indonesia,2026-06-05,Jadwal Wakil Indonesia Di Perempat Final Indonesia Open 2026,https://www.cnnindonesia.com/olahraga/20260605060344-170-1365535/jadwal-wakil-indonesia-di-perempat-final-indonesia-open-2026,"Indonesia Open 2026 akan menggelar babak perempat final pada Jumat (5/6). Berikut jadwal tujuh wakil Indonesia di babak perempat final Indonesia Open. Di nomor tunggal, Indonesia masih memiliki satu wakil, baik di nomor tunggal putra dan tunggal putri. Indonesia mengandalkan Jonatan Christie di tunggal putra dan berharap pada Putri Kusuma Wardani di tunggal putri. Jonatan akan bertarung melawan pebulutangkis Jepang, Yushi Tanaka. Sedangkan Putri KW akan bentrok melawan unggulan keempat, Chen Yufei. SCROLL TO CONTINUE WITH CONTENT Duel Putri KW vs Chen Yufei jadi duel pertama yang dimainkan wakil Indonesia di perempat final Indonesia Open 2026. Laga Putri KW vs Chen Yufei dimainkan di urutan kedua pada sesi pagi yang dimulai pukul 09.00 WIB. Setelah memainkan dua laga awal, duel enam wakil berikutnya akan dimainkan pada sesi siang hari yang dimulai pukul 13.30 WIB. Mereka akan melanjutkan perjuangan untuk melangkah ke semifinal. Ganda putri sudah memastikan satu tempat di babak semifinal. Hal itu lantaran Rachel Allessya Rose/Febi Setianingrum akan bertarung melawan Febriana Dwipuji Kusuma/Meilysa Trias Puspitasari. Satu wakil lainnya di ganda putri adalah Amallia Cahaya Pratiwi/Siti Fadia Silva. Tiwi/Fadia bakal berhadapan dengan unggulan kelima, Yuki Fukushima/Mayu Matsumoto dari Jepang. Di nomor ganda putra, Indonesia masih memiliki dua wakil lewat Sabar Karyaman/M. Reza Pahlevi dan Raymond Indra/Nikolaus Joaquin. Sabar/Reza bakal bertemu Chen Bo Yang/Liu Yi sementara itu Raymond/Joaquin akan bertarung melawan unggulan kedelapan, Takuro Hoki/Yugo Kobayashi. Jadwal Wakil Indonesia di Perempat Final Indonesia Open 2026 Mulai 09.00 WIBPutri Kusuma Wardani vs Chen Yufei (pertandingan 2) Mulai 13.30 WIB (dari pertandingan 3) Raymond Indra/Nikolaus Joaquin vs Takuro Hoki/Yugo Kobayashi (pertandingan 3) Sabar Karyaman/M. Reza Pahlevi vs Chen Bo Yang/Liu Yi (pertandingan 5) Amallia Cahaya Pratiwi/Siti Fadia Silva vs Yuki Fukushima/Mayu Matsumoto (pertandingan 8) Jonatan Christie vs Yushi Tanaka (pertandingan 9) Rachel Allessya Rose/Febi Setianingrum vs Febriana Dwipuji Kusuma/Meilysa Trias Puspitasari (pertandingan 9)",
8,CNN Indonesia,2026-06-05,Andoni Iraola Resmi Jadi Pelatih Liverpool,https://www.cnnindonesia.com/olahraga/20260605072923-142-1365565/andoni-iraola-resmi-jadi-pelatih-liverpool,"Andoni Iraola resmi diumumkan sebagai pelatih baru Liverpool. The Reds memasuki era baru bersama Iraola. Liverpool yang sudah santer dikabarkan merekrut Iraola akhirnya meresmikan hal tersebut. Lewat unggahan di akun media sosial mereka, Liverpool menyatakan Iraola adalah arsitek baru mereka. ""Pelatih baru kami,"" tulis Liverpool sambil mengunggah foto Iraola di Anfield. SCROLL TO CONTINUE WITH CONTENT Liverpool juga mengunggah video Iraola. Pelatih asal Spanyol itu menekankan dirinya sangat bangga dengan kesempatan yang hadir untuk dirinya. ""Hai, saya Andoni Iraola. Senang bisa berbicara dengan kalian untuk pertama kali. Saya sangat antusias bisa ada di sini, jadi manajer Liverpool."" ""Saya pikir kalian sudah mengetahui bahwa klub ini adalah salah satu yang terbesar di dunia. Namun saya pikir akan selalu sesuatu yang lebih besar bila berbicara tentang Liverpool,"" tutur Iraola. Iraola menyadari manajer Liverpool akan selalu dikelilingi tanggung jawab besar. Namun Iraola juga menyebut kesempatan itu sebagai sesuatu yang luar biasa. ""Saya rasa akan selalu ada banyak orang yang peduli dengan klub ini. Saya pikir ini adalah keistimewaan luar biasa, sekaligus tanggung jawab besar untuk ada di posisi ini."" ""Saya harap saya ada di level [untuk memenuhi ekspektasi] dan semoga kita bisa menikmatinya bersama,"" kata Iraola.",
9,CNN Indonesia,2026-06-05,Indonesia Vs Oman Kenangan Suporter Terobos Lapangan Dan Tendang Bola,https://www.cnnindonesia.com/olahraga/20260605070939-142-1365561/indonesia-vs-oman-kenangan-suporter-terobos-lapangan-dan-tendang-bola,"Timnas Indonesia akan menghadapi Oman dalam laga FIFA Matchday di SUGBK, Jumat (5/6). Duel Indonesia vs Oman selalu identik dengan aksi suporter bernama Hendri Mulyadi menerobos lapangan yang dilakukannya 16 tahun lalu. Saat itu, Indonesia bertarung lawan Oman dalam duel Kualifikasi Piala Asia 2011. Indonesia mencatat dua kemenangan dan dua hasil imbang dalam empat laga yang dimainkan sebelum duel Indonesia vs Oman. Oman unggul lewat gol Fawzi Bashir pada menit ke-32 dan kemudian bisa disamakan Boaz Solossa di pengujung babak pertama. Oman lalu memastikan kemenangan 2-1 lewat gol Ismail Sulaiman pada menit ke-52. Kekalahan tersebut membuat Indonesia gagal lolos ke putaran final Piala Asia 2011 di Qatar. SCROLL TO CONTINUE WITH CONTENT Saat injury time memasuki menit kedua, wasit Subkhiddin Mohd Salleh dari Malaysia menghentikan pertandingan. Wasit meniup peluit setelah melihat seorang suporter berlari masuk lapangan. Suporter itu adalah Hendri Mulyadi. Boaz terlihat sempat berusaha menghentikan Hendri. Mengenakan baju merah, celana panjang cokelat dan tanpa alas kaki, Hendri langsung menghampiri bola yang berada dekat dengan Benny Dolo. Puluhan ribu suporter di SUGBK bergemuruh. Benny Dolo sempat berusaha mengejar Hendri, namun sang suporter berlari terlalu cepat bagi pelatih Timnas kala itu. Sambil menggiring bola ke arah kiper Ali Al Habsi, Hendri berusaha membobol gawang Oman. Namun usaha Hendri tidak berhasil. Al Habsi yang pernah berkiprah di Premier League itu berhasil menangkap bola tendangan Hendri. Sejumlah petugas polisi pun kemudian mengamankan Hendri. Saat itu, Hendri mengaku masuk ke lapangan karena kecewa dengan PSSI karena gagal mengangkat prestasi Timnas Indonesia. Insiden Hendri ketika itu viral, bahkan dia sempat diwawancara sejumlah media asing, seperti ESPN dan BBC. ""Saya melakukan itu karena kecewa atas prestasi timnas Indonesia yang tak pernah menang. Selalu kalah, bahkan selalu seri. Saya minta maaf atas ulah saya ini, kepada seluruh masyarakat sepak bola tanah air."" ""Dikira gila? saya pasrah saja biar masyarakat yang menilai, jujur saya kecewa sama timnas Indonesia yang tidak bisa menang,"" ucap Hendri saat itu, dikutip dari Detik. Kali ini, Timnas Indonesia bertarung lawan Oman dalam laga FIFA Matchday. Duel ini jadi kesempatan bagi John Herdman untuk terus mencari formula terbaik untuk Timnas Indonesia.",
10,CNN Indonesia,2026-06-05,Perasaan Kevin Diks Bela Timnas Indonesia Tanpa Jay Idzes Di Juni,https://www.cnnindonesia.com/olahraga/20260605064216-142-1365550/perasaan-kevin-diks-bela-timnas-indonesia-tanpa-jay-idzes-di-juni,"Timnas Indonesia untuk kali pertama bakal bermain tanpa Jay Idzes dalam duel lawan Oman dan Mozambik di FIFA Matchday Juni. Kevin Diks pun angkat bicara soal itu. Sejak resmi jadi WNI, Jay Idzes tidak pernah absen membela Timnas Indonesia. FIFA Matchday Juni ini jadi momen pertama Jay Idzes tidak bisa hadir memperkuat lini pertahanan Timnas Indonesia. Terkait hal tersebut, Kevin Diks mengakui bahwa Jay Idzes adalah sosok pemimpin tak tergantikan. Karena itu, ia berharap Jay Idzes bisa cepat pulih dan kembali bermain. SCROLL TO CONTINUE WITH CONTENT ""Saya sudah melihat bahwa Jay tidak tergantikan. Dia seseorang yang memimpin tim secara alami, dia sudah melakukannya sejak lama."" ""Kami merindukannya, tapi tentu saja kami harus tetap bertanding tanpanya. Dia tidak di sini karena cedera dan kami berharap dia segera bugar secepat mungkin,"" ucap Kevin Diks dalam sesi konferensi pers, Kamis (4/6). Kevin Diks menyatakan pemain-pemain yang ada dalam skuad Indonesia kali ini harus mulai unjuk gigi. Tentunya, Kevin Diks juga siap untuk melakukan hal itu. ""Kali ini kami harus melakukannya tanpa dia [Jay Idzes] dan kami punya banyak pemain yang bisa menunjukkan kemampuan mereka sekarang. Tentu saja kami kehilangan pemimpin kami, tapi orang lain harus melangkah maju, termasuk saya,"" ujar Kevin Diks. Kevin Diks adalah salah satu pemain yang piawai bermain di sejumlah posisi berbeda. Ia bisa bermain sebagai wing back tetapi di Borussia Monchengladbach, Kevin Diks ditempatkan di salah satu dari tiga bek sejajar. Karena itu, Kevin Diks bisa jadi salah satu opsi yang akan diuji John Herdman untuk mengisi pos yang ditinggalkan Jay Idzes. Timnas Indonesia akan melakoni dua laga di FIFA Matchday Juni. Indonesia duel lawan Oman pada Jumat (5/6) lalu disusul laga lawan Mozambik pada Selasa (9/6).",
